1,Leonerd,Freda,,1,70,2022-06-06 00:00:00,<Basil - Seedlings Cookstown>
2,Willyt,Ellwand,,2,25,2012-09-28 00:00:00,<Ginger - Crystalized>
3,Terrel,Jeduch,,3,557,2016-06-30 00:00:00,"<Ice - Clear, 300 Lb For Carving>"
4,Felicdad,Josephi,,4,996,2011-08-20 00:00:00,<Mints - Striped Red>
5,Hogan,Jantzen,,5,788,2018-04-06 00:00:00,<Pop - Club Soda Can>
6,Lula,Stanesby,,6,334,2002-01-13 00:00:00,<Wine - Placido Pinot Grigo>
7,Umeko,Deluze,,7,684,2014-06-23 00:00:00,<Sole - Iqf>
8,Aguistin,Jallin,,8,574,2005-09-10 00:00:00,<Tomato - Peeled Italian Canned>
9,Gwenore,Baughan,,9,995,2007-04-11 00:00:00,"<Peas - Pigeon, Dry>"
10,Shepard,Presslie,,10,652,2003-09-24 00:00:00,<Lentils - Green Le Puy>
11,Geoff,Millyard,,11,291,2000-02-03 00:00:00,<Gatorade - Fruit Punch>
12,Rube,Daulton,,12,86,2008-02-02 00:00:00,<Grapefruit - White>
13,Maddie,Petriello,,13,114,2024-02-23 00:00:00,<Cookies - Fortune>
14,Even,McPharlain,,14,27,2009-09-25 00:00:00,<Oil - Coconut>
15,Florette,Sowood,,15,501,2022-06-07 00:00:00,<Ham - Black Forest>
16,Colan,Cowdrey,,16,880,2001-02-19 00:00:00,<Sage - Rubbed>
17,Rebeca,Polin,,17,222,2006-02-06 00:00:00,<Ham - Procutinni>
18,Rafaela,Garnall,,18,439,2012-12-04 00:00:00,<Island Oasis - Wildberry>
19,Emilio,Stare,,19,766,2008-02-14 00:00:00,<Longos - Penne With Pesto>
20,Lou,Fosh,,20,304,2005-08-13 00:00:00,<Pepper - Cayenne>
21,Elsy,Levey,,21,431,2014-02-24 00:00:00,<Cookie Double Choco>
22,Shaylah,Cavan,,22,71,2018-08-22 00:00:00,<Cinnamon Buns Sticky>
23,Templeton,Hyndman,,23,37,2011-11-12 00:00:00,<Bread - Italian Corn Meal Poly>
24,Wandis,Slaney,,24,1000,2014-05-21 00:00:00,<Chicken - White Meat With Tender>
25,Daryn,O'Shields,,25,132,2023-05-16 00:00:00,"<Bread - Sticks, Thin, Plain>"
26,Dev,Damrel,,26,945,2012-02-18 00:00:00,<Barramundi>
27,Laryssa,Beacham,,27,371,2016-05-25 00:00:00,"<Beef - Cooked, Corned>"
28,Loren,Risebrow,,28,52,2001-10-18 00:00:00,<Muffin Batt - Choc Chk>
29,Dionysus,Blackstone,,29,80,2020-06-20 00:00:00,<Ginger - Crystalized>
30,Amelita,Crebbin,,30,503,2022-04-18 00:00:00,<Chocolate Bar - Oh Henry>
31,Bernice,Meijer,,31,789,2011-08-24 00:00:00,<Bamboo Shoots - Sliced>
32,Aluino,Viner,,32,514,2021-09-23 00:00:00,<Fondant - Icing>
33,Meredith,Di Claudio,,33,443,2016-06-26 00:00:00,<Veal - Kidney>
34,Everett,Bowmen,,34,278,2019-03-02 00:00:00,<Muffin - Bran Ind Wrpd>
35,Adria,Ostick,,35,803,2007-02-11 00:00:00,<Wine - Casillero Deldiablo>
36,Yolanda,Foskett,,36,797,2019-05-19 00:00:00,<Cheese - Cheddar With Claret>
37,Tildi,Shemelt,,37,200,2021-08-02 00:00:00,<Beer - Upper Canada Lager>
38,Monroe,Michieli,,38,76,2000-04-07 00:00:00,<Island Oasis - Sweet And Sour Mix>
39,Nissy,McGennis,,39,54,2006-08-22 00:00:00,<Tea Peppermint>
40,Max,Greenshields,,40,276,2007-12-18 00:00:00,<Wine - Pinot Noir Mondavi Coastal>
41,Addison,Coxall,,41,3,2015-12-19 00:00:00,<Ecolab - Mikroklene 4/4 L>
42,Helen-elizabeth,Haskey,,42,800,2022-08-27 00:00:00,<Pie Filling - Pumpkin>
43,Griswold,Hailey,,43,905,2015-04-30 00:00:00,<Milk - Chocolate 500ml>
44,Florrie,Rigg,,44,960,2013-03-24 00:00:00,<Oxtail - Cut>
45,Pamella,Ratt,,45,740,2012-06-25 00:00:00,"<Nut - Almond, Blanched, Ground>"
46,Jordanna,Fishley,,46,16,2023-12-18 00:00:00,"<Juice - Apple, 341 Ml>"
47,Warden,Michelle,,47,891,2017-11-24 00:00:00,<Wine - Magnotta - Pinot Gris Sr>
48,Niccolo,Comino,,48,443,2002-07-03 00:00:00,<Seedlings - Clamshell>
49,Margie,Castana,,49,733,2015-05-21 00:00:00,<Wine - Taylors Reserve>
50,Frank,Blanko,,50,817,2019-10-01 00:00:00,<Shrimp - Black Tiger 6 - 8>
51,Ernst,Pauluzzi,,51,212,2005-10-25 00:00:00,<Energy Drink - Franks Original>
52,Tris,Arden,,52,239,2022-10-02 00:00:00,<Oxtail - Cut>
53,Otes,Kerfoot,,53,474,2010-03-20 00:00:00,<Wine - Chateauneuf Du Pape>
54,Kit,Pigdon,,54,792,2011-04-07 00:00:00,<Spice - Paprika>
